GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge,Driver
Thu Oct 03 22:59:58 GMT+02:00 2019,03-ott-2019 22:59:57.443,14.23733686,41.59484474,12.29,10.72,519.0687255859375,65.7,2.42181396,7.70758057,4.10531616,-0.05721641,-8.96690845,41.5686264,-,55.27409363,16.51360893,1.80912817,6.05548525,12.84820271,7.78302813,-,-,-,47.8514061,242.43397522,0.56800079,0.58303738,280.19616699,1682,10.72000027,519.06872559,41.59484482,14.23733711,65.69999695,10,34.03427887,0,65.96572113,-,-,16.47058868,16.07843208,-,-,6.27450991,13,41.39500046,125,162,84.57800293,44.24399948,44,19.63076973,31.12195206,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:59:59 GMT+02:00 2019,03-ott-2019 22:59:59.105,14.23746307,41.59489208,12.28,10.72,519.5198974609375,65.2,2.50561523,7.35083008,4.27050781,-0.02708165,-8.9689579,41.5686264,-,38.40992355,16.51377106,2.60343981,6.05542612,12.93259525,7.73223925,-,-,-,68.8609314,237.74281311,0.24399948,0.60157847,280.21472168,1659,10.72000027,519.51989746,41.59489059,14.237463,65.19999695,10,33.591362,0,66.408638,-,-,17.25490189,16.86274529,-,-,7.05882359,13,41.39500046,127,164,86.23899841,44.20799637,44,20,31.4285717,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:02 GMT+02:00 2019,03-ott-2019 23:00:02.213,14.2378427,41.59496437,11.85,10.72,515.8899536132811,69.3,2.19436646,7.80334473,4.67512512,-0.02711868,-8.97139645,52.54901886,-,38.20705414,16.51393318,2.61726308,6.05536699,13.01435375,7.68366385,-,-,-,69.2265625,233.3081665,1.60400009,0.62010223,280.23324585,1642,10.72000027,515.88995361,41.59496307,14.23784256,69.30000305,11,32.79307938,0,67.20691681,-,-,18.4313736,17.25490189,-,-,8.23529434,13,41.39500046,130,167,89.34600067,42.65999985,43,20.3432827,31.6976738,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:04 GMT+02:00 2019,03-ott-2019 23:00:03.691,14.23814062,41.59510845,12.71,10.72,514.426025390625,68.1,2.41702271,8.01164246,5.08453369,0.01715279,-8.97715473,55.29411697,-,27.61425591,16.51501846,3.62124252,6.05496883,13.2389679,7.55330181,-,-,-,95.78179932,229.78186035,2.43999863,0.65870845,280.27185059,1650,10.72000027,514.42602539,41.59510803,14.23814106,68.09999847,13,32.42650604,0,67.57349396,-,-,17.64705849,17.25490189,-,-,7.45098066,13,41.39500046,132,168,90.8239975,45.75600052,44,20.69117737,31.97727203,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:05 GMT+02:00 2019,03-ott-2019 23:00:05.234,14.23827598,41.59514029,12.35,11.792,513.6340942382811,68.3,2.66601562,8.00445557,4.73258972,-0.01488723,-8.97955513,60,-,28.379879,16.51617813,3.52355003,6.05454397,13.46837521,7.4246459,-,-,-,93.1978302,226.36724854,2.75600052,0.67702681,280.29016113,1639,11.79199982,513.63409424,41.59513855,14.23827553,68.30000305,14,32.05340958,0,67.94658661,-,-,17.64705849,16.86274529,-,-,7.45098066,13,41.39500046,133,170,92.36299896,44.45999908,43,21.01449203,32.22222137,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:07 GMT+02:00 2019,03-ott-2019 23:00:06.722,14.238563599999999,41.59522667,12.57,10.72,512.8499145507811,66.6,1.82086182,8.4473877,5.27128601,0.01884062,-8.98265553,49.80392075,-,25.54336357,16.51705933,3.91482973,6.0542202000000005,13.64859962,7.32660675,-,-,-,103.54718018,223.37164307,0.81200027,0.69512266,280.30825806,1636.5,10.72000027,512.84991455,41.59522629,14.23856354,66.59999847,14,31.69958115,0,68.30042267,-,-,17.25490189,16.86274529,-,-,7.05882359,13,41.39500046,135,171,93.85600281,45.2519989,43,21.32857132,32.45652008,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:08 GMT+02:00 2019,03-ott-2019 23:00:08.091,14.238667900000001,41.59524395,11.63,11.792,512.52294921875,65.7,2.25660706,8.10021973,5.18748474,-0.00572686,-8.98484802,61.17647171,-,31.59104156,16.51853371,3.16538858,6.05368042,13.91245842,7.18765259,-,-,-,83.72446442,220.04670715,2.2519989,0.71148658,280.32461548,1636,11.79199982,512.52294922,41.59524536,14.23866749,65.69999695,14,31.38193512,0,68.61806488,-,-,18.4313736,18.03921509,-,-,8.23529434,13,41.39500046,136,173,95.22499847,41.86800003,43,21.63380241,32.68085098,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:10 GMT+02:00 2019,03-ott-2019 23:00:09.608,14.2389367,41.59531971,12.19,10.72,513.6525268554689,63.4,2.33561707,8.2702179,4.88581848,-0.01167269,-8.98753452,70.19608307,-,24.20136833,16.5192852,4.13191175,6.05340528,14.06157303,7.1114316,-,-,-,109.28898621,217.47094727,0.34000015,0.72959435,280.3427124,1646,10.72000027,513.65252686,41.59531784,14.23893642,63.40000153,14,31.03730392,0,68.96269989,-,-,18.03921509,17.64705849,-,-,8.23529434,13,41.39500046,138,174,96.74199677,43.88399887,43,21.93055534,32.89583206,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:13 GMT+02:00 2019,03-ott-2019 23:00:12.849,14.2393351,41.59540139,12.1,10.72,514.5877685546875,65.5,2.85995483,8.04275513,4.77807617,0.01618606,-8.99172115,60,-,20.56151772,16.51968002,4.86335278,6.05326033,14.15442944,7.06477928,-,-,-,128.63560486,215.45196533,0.06399918,0.75708395,280.37020874,1657.5,10.72000027,514.58776855,41.59540176,14.23933506,65.5,14,30.32772446,0,69.67227936,-,-,17.25490189,16.07843208,-,-,7.84313726,13,41.39500046,141,178,99.97399902,43.56000137,44,22.23287582,33.12244797,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 23:00:14 GMT+02:00 2019,03-ott-2019 23:00:14.351,14.23947056,41.59545285,12.14,10.72,514.4840698242189,65.5,3.00120544,7.76742554,4.75653076,0.00857733,-8.99719524,44.70588303,-,26.39250565,16.52064323,3.78887558,6.05290699,14.32679749,6.9797821,-,-,-,100.21569061,212.89115906,0.70399857,0.78690565,280.40002441,1651,10.72000027,514.48406982,41.59545135,14.23947048,65.5,15,30.00678825,0,69.99320984,-,-,18.03921509,17.64705849,-,-,6.66666698,13,41.39500046,142,179,101.48600006,43.70399857,43,22.51351357,33.31999969,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
