GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Tue Sep 24 11:09:48 GMT+02:00 2019,24-set-2019 11:09:47.357,14.253937699999998,41.60107216,24.33,9.648000999999999,517.02978515625,62.8,4.18634033,8.59342957,1.32084656,0.07525296,48.74102783,99.60784149,-,181.2480011,13.46827698,0,7.42470026,9.57690334,10.44157124,-,-,-,0,289.1321106,3.46400452,0.51711327,3.77235317,2427,9.64800072,517.02978516,41.6010704,14.25393772,62.79999924,20,12.19576645,8.18434811,79.61988831,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,100,226,86.43800354,87.58799744,89,70.36842346,70.36842346
Tue Sep 24 11:09:49 GMT+02:00 2019,24-set-2019 11:09:48.720,14.25421064,41.60115796,24.29,10.72,517.2274169921875,72.7,1.14810181,8.4186554,2.62568665,-0.08946845,48.71896744,99.60784149,-,6.17296886,13.43481159,16.19932365,7.44319439,9.37667179,10.66454315,-,-,-,428.47183228,297.32855225,4.41200256,0.55155355,3.80679345,2506.5,10.72000027,517.22741699,41.60115814,14.25421047,72.69999695,19,12.02849293,9.44365978,78.52784729,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,101,228,87.80699921,87.44400024,92,71.44999695,71.44999695
Tue Sep 24 11:09:51 GMT+02:00 2019,24-set-2019 11:09:50.091,14.25481815,41.60129383,26.12,9.648000999999999,519.0089111328125,72.0,0.06591797,9.20874023,2.93933105,0.00439143,48.69577408,99.60784149,-,6.08622313,13.40125656,16.43021011,7.46183157,9.19386864,10.87658787,-,-,-,434.57873535,304.95358276,3.23600006,0.58708358,3.8423233,2581,9.64800072,519.00891113,41.60129547,14.25481796,72.0,20,11.865629199999999,10.66977692,77.46459198,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,103,229,89.17700195,94.03199768,95,72.57142639,72.57142639
Tue Sep 24 11:09:52 GMT+02:00 2019,24-set-2019 11:09:51.469,14.255116899999999,41.60138025,26.81,9.648000999999999,519.5171508789061,68.8,0.59024048,9.30210876,2.69273376,-0.04135699,48.67190552,99.60784149,-,6.09921026,13.36806583,16.39522552,7.48035812,9.03099251,11.07275009,-,-,-,433.65341187,311.72723389,4.96800232,0.62402439,3.87926412,2688.5,9.64800072,519.51715088,41.60137939,14.25511646,68.80000305,20,11.70677471,11.86571217,76.42751312,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,104,230,90.55000305,96.51599884,99,73.77272797,73.77272797
Tue Sep 24 11:09:53 GMT+02:00 2019,24-set-2019 11:09:52.837,14.25541746,41.60148197,27.4,9.648000999999999,519.847900390625,66.9,2.33322144,9.55349731,1.21311951,0.03950597,48.64749908,99.60784149,-,6.22906113,13.33576298,16.05344963,7.49847794,8.89089584,11.24722672,-,-,-,424.61346436,317.37155151,5.48400116,0.6622144,3.91745424,2770,9.64800072,519.84790039,41.60148239,14.25541782,66.90000153,20,11.55256176,13.02670193,75.42073822,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,105,232,91.91899872,98.63999939,102,75,75
Tue Sep 24 11:09:55 GMT+02:00 2019,24-set-2019 11:09:54.201,14.25604442,41.60168421,28.47,9.648000999999999,520.5744018554689,69.0,2.78573608,8.73228455,2.28572083,0.01501575,48.62282562,96.07843018,-,6.3388133,13.304245000000002,15.77549553,7.51624155,8.76936817,11.40309334,-,-,-,417.26156616,322.12823486,3.04800415,0.7015444,3.95678425,2858.5,9.64800072,520.57440186,41.60168457,14.25604439,69.0,20,11.40235901,14.15750217,74.44013977,-,-,7.84313726,64.70588684,-,-,0,22,12.00599957,107,233,93.28800201,102.49199677,105,76.25,76.25
Tue Sep 24 11:09:56 GMT+02:00 2019,24-set-2019 11:09:55.600,14.25635163,41.60178113,28.4,9.648000999999999,520.0811157226561,70.7,2.97247314,9.24943542,1.7230835,0.08515141,48.60864639,99.60784149,-,11.80115795,13.29750443,8.47356892,7.52005148,8.90717697,11.22666836,-,-,-,224.12573242,317.67355347,2.50800323,0.74150276,3.99674249,2243,9.64800072,520.08111572,41.60177994,14.25635147,70.69999695,20,11.2533741,15.27913189,73.46749115,-,-,66.66666412,65.09803772,-,-,60.7843132,21,12.00599957,108,235,94.68199921,102.23999786,105,77.40000153,77.40000153
Tue Sep 24 11:09:58 GMT+02:00 2019,24-set-2019 11:09:57.088,14.25702044,41.60193447,28.92,9.648000999999999,520.2868041992189,80.8,3.96606445,7.69799805,1.49084473,-0.04410358,48.58679199,99.60784149,-,8.15141487,13.27453041,12.26755333,7.53306627,8.87431717,11.26823807,-,-,-,324.4765625,317.96936035,2.96000671,0.78608167,4.04132128,2284.5,9.64800072,520.2868042,41.60193634,14.25702,80.80000305,20,11.09827232,16.44681549,72.45491028,-,-,66.66666412,65.09803772,-,-,60.7843132,21,12.00599957,110,236,96.17299652,104.11199951,107,78.53845978,78.53845978
Tue Sep 24 11:09:59 GMT+02:00 2019,24-set-2019 11:09:58.462,14.25736791,41.60195947,29.04,9.648000999999999,520.7384033203125,83.8,2.41702271,8.0068512,5.00552368,0.01259321,48.56650925,13.72549057,-,8.07735443,13.25143242,12.38003349,7.54619694,8.84111023,11.31056118,-,-,-,327.45166016,318.36444092,3.88800049,0.82696152,4.08220148,2315,9.64800072,520.73840332,41.60195923,14.25736809,83.80000305,20,10.959379199999999,17.49246979,71.54814911,-,-,7.84313726,7.84313726,-,-,0,22,12.00599957,111,237,97.54399872,104.54399872,108,79.62963104,79.62963104
Tue Sep 24 11:10:00 GMT+02:00 2019,24-set-2019 11:09:59.835,14.25769632,41.60198208,27.58,9.648000999999999,522.2550659179689,84.9,2.50799561,6.77862549,7.14355469,0.06683978,48.56650925,0,-,181.2480011,13.25729561,0,7.54285955,9.07052898,11.02448559,-,-,-,0,305.62988281,7.54399872,0.86591154,4.12115145,1777,9.64800072,522.25506592,41.60198212,14.25769615,84.90000153,19,10.82382202,18.51301003,70.66316986,-,-,7.84313726,7.84313726,-,-,0,21,12.00599957,112,239,98.91600037,99.28799438,97,80.25,80.25
