GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Sep 23 10:15:34 GMT+02:00 2019,23-set-2019 10:15:33.869,14.24580066,41.59821572,7.62,7.504,517.7522583007812,70.7,-0.44165039,7.04676819,5.06777954,0.02984311,49.96532059,23.13725471,-,181.2480011,12.51530647,0,7.99004984,12.51530647,7.99004984,-,-,-,0,111.97924042,0.49600029,0.16716264,0.16716264,1689.5,7.50400019,517.7522583,41.59821701,14.24580097,70.69999695,12,12.60663509,0,87.39336395,-,-,16.07843208,16.07843208,-,-,5.88235283,18,2.63499999,49,267,46.95000076,27.43199921,28,21.10526276,21.10526276
Mon Sep 23 10:15:35 GMT+02:00 2019,23-set-2019 10:15:35.543,14.24589222,41.59823489,7.82,7.504,518.527099609375,68.9,0.78657532,8.43780518,4.79962158,-0.02077202,49.9629364,27.05882454,-,39.5113678,12.58117676,2.53086448,7.94821692,12.58117676,7.94821692,-,-,-,66.94132233,108.97671509,1.84799957,0.18050264,0.18050264,1779.5,7.50400019,518.52709961,41.59823608,14.24589252,68.90000153,13,12.19493198,0,87.80506897,-,-,14.11764717,13.72549057,-,-,3.52941179,18,2.63499999,51,269,48.62400055,28.15200043,30,21.54999924,21.54999924
Mon Sep 23 10:15:37 GMT+02:00 2019,23-set-2019 10:15:37.244,14.24605402,41.59829379,7.81,6.432,519.2107543945312,66.7,2.15365601,9.18479919,3.6599884,-0.03199475,49.96033096,19.6078434,-,34.08053207,13.65614414,2.93416548,7.32255888,13.65614414,7.32255888,-,-,-,77.60861969,107.01620483,1.63199997,0.1944443,0.19444431,1826.5,6.43200016,519.21075439,41.5982933,14.2460537,66.69999695,13,11.80347061,0,88.1965332,-,-,13.72549057,13.33333397,-,-,3.13725495,18,2.63499999,52,270,50.32400131,28.11599922,30,21.95238113,21.95238113
Mon Sep 23 10:15:39 GMT+02:00 2019,23-set-2019 10:15:39.036,14.24625608,41.59837092,8.08,6.432,519.2310791015625,65.1,0.73629761,7.94459534,2.90103149,-0.01168538,49.95753098,20.3921566,-,45.70877457,13.72117329,2.18771815,7.28785467,13.72117329,7.28785467,-,-,-,57.86510849,104.12496948,0.04800224,0.2097193,0.2097193,1809.5,6.43200016,519.2310791,41.5983696,14.24625587,65.09999847,15,11.41714287,0,88.58285522,-,-,14.11764717,13.72549057,-,-,3.52941179,18,2.63499999,54,272,52.11600113,29.08799934,30,22.31818199,22.31818199
Mon Sep 23 10:15:41 GMT+02:00 2019,23-set-2019 10:15:40.704,14.24645884,41.59845611,8.67,7.504,520.9487915039062,63.5,0.82487488,8.3324585,4.15319824,-0.02866803,49.95505905,22.74509811,-,45.46440125,13.78354263,2.19947743,7.25487804,13.78354263,7.25487804,-,-,-,58.17613602,101.57225037,0.27599907,0.2234693,0.2234693,1805,7.50400019,520.9487915,41.59845734,14.24645901,63.5,15,11.07979679,0,88.92020416,-,-,16.47058868,16.07843208,-,-,5.88235283,18,2.63499999,56,274,53.78300095,31.21199989,30,22.652174,22.652174
Mon Sep 23 10:15:42 GMT+02:00 2019,23-set-2019 10:15:42.373,14.24656588,41.59850222,9.02,8.576,520.1864624023438,61.7,1.26301575,9.09381104,3.75335693,-0.03103424,49.9525032,63.52941132,-,40.28814316,13.84347057,2.4820683,7.22347164,13.84347057,7.22347164,-,-,-,65.65065765,99.68164062,1.21199989,0.23731931,0.23731931,1797,8.57600021,520.1864624,41.59850311,14.24656582,61.70000076,15,10.76125908,0,89.23873901,-,-,17.64705849,16.86274529,-,-,8.23529434,18,2.63499999,58,275,55.45299911,32.47200012,30,22.95833397,22.95833397
Mon Sep 23 10:15:47 GMT+02:00 2019,23-set-2019 10:15:46.601,14.24705189,41.59869445,8.47,11.792,518.4685668945312,62.4,1.14810181,8.43061829,4.47880554,0.01918923,49.94829941,27.45098114,-,13.07585907,13.8114872,7.64752197,7.24019957,13.8114872,7.24019957,-,-,-,202.27682495,104.81140137,0.4279995,0.25812376,0.25812376,1934,11.79199982,518.46856689,41.59869385,14.24705219,62.40000153,11,10.03097057,0,89.96903229,-,-,7.84313726,7.84313726,-,-,0.78431374,18,2.63499999,62,279,59.68199921,30.49200058,32,23.31999969,23.31999969
Mon Sep 23 10:15:49 GMT+02:00 2019,23-set-2019 10:15:49.479,14.24717331,41.59870102,7.12,10.72,519.8378295898438,62.3,1.24147034,8.21514893,3.94250488,-0.04355127,49.94829941,25.88235283,-,45.64303207,13.8667326,2.19086933,7.21135378,13.8667326,7.21135378,-,-,-,57.94845581,102.57983398,3.50399971,0.29461709,0.29461709,1457,10.72000027,519.83782959,41.59870148,14.24717331,62.29999924,14,9.58904076,0,90.41095734,-,-,13.33333397,12.94117641,-,-,2.74509811,18,2.63499999,65,283,62.55400085,25.63199806,24,23.34615326,23.34615326
Mon Sep 23 10:15:51 GMT+02:00 2019,23-set-2019 10:15:51.141,14.24737079,41.59883613,7.61,8.576,518.67138671875,59.1,2.27815247,9.25183105,2.7286377,0.00407623,49.94615936,49.80392075,-,40.10789108,13.92006683,2.49322319,7.1837244,13.92006683,7.1837244,-,-,-,65.94570923,100.91464233,5.97999954,0.30547279,0.30547279,1406.5,8.57600021,518.67138672,41.59883499,14.24737072,59.09999847,14,9.35022545,0,90.64977264,-,-,21.17647171,20.3921566,-,-,11.37254906,18,2.63499999,66,284,64.21900177,27.39599991,23,23.33333397,23.33333397
Mon Sep 23 10:15:53 GMT+02:00 2019,23-set-2019 10:15:52.805,14.24745657,41.59882682,6.61,11.792,516.1255493164062,74.2,1.22471619,8.67962646,3.59056091,-0.01951655,49.94329834,47.84313965,-,14.32951927,13.93523121,6.97845602,7.17590666,13.93523121,7.17590666,-,-,-,184.58003235,104.55226898,1.16800117,0.31564611,0.31564611,1541,11.79199982,516.12554932,41.59882736,14.24745655,74.19999695,16,9.12301731,0,90.87698364,-,-,15.68627453,15.29411793,-,-,5.49019623,18,2.63499999,68,286,65.88400269,23.79599953,25,23.3928566,23.3928566
Mon Sep 23 10:15:54 GMT+02:00 2019,23-set-2019 10:15:54.176,14.24753161,41.5988508,6.9,10.72,516.1968383789062,76.0,-0.50390625,8.2462616,4.71583557,-0.03014172,49.94095612,26.27450943,-,19.33158302,14.1279583,5.17277431,7.07801628,14.1279583,7.07801628,-,-,-,136.81977844,105.8967514,1.20400047,0.32611138,0.32611138,1553.5,10.72000027,516.19683838,41.59885025,14.24753189,76,16,8.9440546,0,91.05594635,-,-,13.33333397,11.37254906,-,-,3.13725495,18,2.63499999,69,287,67.25499725,24.84000015,25,23.44827652,23.44827652
