GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 26 17:49:38 GMT+01:00 2019,26-dic-2019 17:49:37.389,14.11580342,41.778364399999994,4.75,860.6845703125,-1.74429202,8.45718861,3.30417156,3.42331982,29.21080208,-,2015,3.79009247,860.68457031,41.77836609,14.11580372,-0.1299468,0.93877363,0.31153801,0.033574,349
Thu Dec 26 17:49:39 GMT+01:00 2019,26-dic-2019 17:49:38.354,14.11574326,41.77836726,4.81,860.045166015625,-1.59577227,10.7089386,5.30918694,181.2480011,0,-,1254.5,3.79009247,860.04516602,41.77836609,14.11574364,-0.102842,1.06990218,0.30543333,0.14914975,350
Thu Dec 26 17:49:39 GMT+01:00 2019,26-dic-2019 17:49:39.080,14.11574326,41.77836726,4.81,860.045166015625,0.42361611,10.62988853,-1.21370089,5.42134333,18.44522858,-,1315.5,3.79009247,860.04516602,41.77836609,14.11574364,0.21924119,0.84305215,0.18480477,-0.08321685,351
Thu Dec 26 17:49:40 GMT+01:00 2019,26-dic-2019 17:49:39.796,14.11567055,41.77837288,5.75,859.5440673828125,2.33760357,9.53515434,2.67655635,6.04955053,16.52980995,-,1434.5,3.79009247,859.54406738,41.77837372,14.115670199999999,0.048310000000000006,0.94414568,0.19261877,-0.010030299999999999,351
Thu Dec 26 17:49:41 GMT+01:00 2019,26-dic-2019 17:49:40.743,14.115596,41.77837659,6.46,859.69580078125,1.32671154,9.66450977,3.6610980000000004,7.85800648,12.72560883,-,1636,3.79009247,859.69580078,41.77837753,14.11559582,0.14891522,0.91801775,0.31544504,0.01893863,352
Thu Dec 26 17:49:42 GMT+01:00 2019,26-dic-2019 17:49:41.453,14.11550909,41.77838149,7.3,859.35498046875,1.24766076,9.27404785,2.57115507,6.99710655,14.29132462,-,1733.5,3.79009247,859.35498047,41.77838135,14.11550903,0.13695003,0.89823848,0.24194461,-0.02883686,353
Thu Dec 26 17:49:42 GMT+01:00 2019,26-dic-2019 17:49:42.172,14.11550909,41.77838149,7.3,859.35498046875,0.25832811,10.27296257,4.13779831,7.08944464,14.10518456,-,1855,3.79009247,859.35498047,41.77838135,14.11550903,0.17064789,0.96758771,0.3523173,0.08200607,354
Thu Dec 26 17:49:43 GMT+01:00 2019,26-dic-2019 17:49:43.132,14.11541816,41.77838945,7.94,859.453125,0.20083661,7.77926826,2.88017201,10.43906021,9.57920647,-,1934.5,3.79009247,859.453125,41.77838898,14.11541843,0.21069463,0.94878525,0.23925856,0.02976026,355
Thu Dec 26 17:49:44 GMT+01:00 2019,26-dic-2019 17:49:43.855,14.11531877,41.778400500000004,8.16,858.587158203125,0.44517547,10.35919857,4.88997841,24.46771049,4.08693409,-,1954.5,3.79009247,858.5871582000001,41.77840042,14.115318300000002,0.10105449,0.88627332,0.33766606,-0.00605902,355
Thu Dec 26 17:49:45 GMT+01:00 2019,26-dic-2019 17:49:44.584,14.11522134,41.77841537,8.27,858.1910400390625,1.51116347,9.09678173,2.99755049,20.29636383,4.92688847,-,1960.5,3.79009247,858.19104004,41.77841568,14.11522102,0.16014785,0.90629667,0.27832854,-0.00459549,356
Thu Dec 26 17:49:46 GMT+01:00 2019,26-dic-2019 17:49:45.531,14.11512138,41.77843485,8.54,857.384521484375,2.28011203,9.31237411,3.4934144,12.04480267,8.30216312,-,2025.5,3.79009247,857.38452148,41.77843475,14.11512184,0.16649671,0.94951779,0.32936370000000004,0.05566064,357
Thu Dec 26 17:49:47 GMT+01:00 2019,26-dic-2019 17:49:46.232,14.11501763,41.77845556,8.84,856.874755859375,1.64291477,9.17822838,4.04437447,17.8251667,5.60992908,-,2079.5,3.79009247,856.87475586,41.77845383,14.11501789,0.21826445,0.91875017,0.30201471,0.02668248,358
Thu Dec 26 17:49:47 GMT+01:00 2019,26-dic-2019 17:49:46.910,14.11501763,41.77845556,8.84,856.874755859375,2.6035017999999996,8.95544815,4.50191116,18.83563042,5.30897665,-,2099.5,3.79009247,856.87475586,41.77845383,14.11501789,0.14134541,0.9761343000000001,0.28077042,0.05762313,358
Thu Dec 26 17:49:48 GMT+01:00 2019,26-dic-2019 17:49:47.837,14.11491404,41.77847814,8.96,856.5538330078125,-0.13932133,9.28362846,6.50692654,24.7987175,4.03238297,-,2105.5,3.79009247,856.55383301,41.77847672,14.11491394,0.35989314,0.9287619,0.26050285,0.05964655,359
Thu Dec 26 17:49:49 GMT+01:00 2019,26-dic-2019 17:49:48.960,14.11481061,41.77849132,8.66,855.992431640625,0.70628262,8.82369804,2.76758432,29.39854622,3.40145802,-,2101,3.79009247,855.99243164,41.77849197,14.11481094,0.17138048,0.88944775,0.24585162,-0.03008023,360
Thu Dec 26 17:49:51 GMT+01:00 2019,26-dic-2019 17:49:50.484,14.11459386,41.77852812,8.85,854.9923095703125,3.86112785,8.00923443,4.32704115,181.2480011,0,-,815.5,3.79009247,854.99230957,41.77852631,14.11459351,0.10642660000000001,0.92705256,0.2773518,0.00689614,362
Thu Dec 26 17:49:52 GMT+01:00 2019,26-dic-2019 17:49:51.510,14.11448098,41.77854952,9.27,854.163818359375,1.13986421,9.29081535,2.34118938,181.2480011,0,-,1405,3.79009247,854.16381836,41.77854919,14.11448097,0.2407297,0.75319123,0.20043276,-0.15383416,363
Thu Dec 26 17:49:53 GMT+01:00 2019,26-dic-2019 17:49:52.371,14.11436998,41.77857385,9.34,853.680419921875,2.76160336,11.15689278,2.54480505,181.2480011,0,-,1400.5,3.79009247,853.68041992,41.77857208,14.11437035,0.12058947,0.81643569,0.56427205,0.05977987,364
Thu Dec 26 17:49:53 GMT+01:00 2019,26-dic-2019 17:49:53.070,14.11436998,41.77857385,9.34,853.680419921875,-0.14650774,8.38292885,-1.36222053,181.2480011,0,-,1409,3.79009247,853.68041992,41.77857208,14.11437035,0.21362488,0.79079604,0.40579432,-0.03695519,365
Thu Dec 26 17:49:54 GMT+01:00 2019,26-dic-2019 17:49:53.749,14.11425922,41.77859807,9.32,852.660400390625,0.34696081,8.80932426,6.20509624,181.2480011,0,-,1388,3.79009247,852.66040039,41.77859879,14.11425877,0.04049601,0.83450562,0.34767777,-0.05180757,365
Thu Dec 26 17:49:55 GMT+01:00 2019,26-dic-2019 17:49:54.575,14.11415349,41.77861715,9.04,852.1302490234375,0.11699487,8.26555061,0.60207188,181.2480011,0,-,1348,3.79009247,852.13024902,41.77861786,14.11415386,-0.00052748,0.85648245,0.58991164,0.10016686,366
Thu Dec 26 17:49:56 GMT+01:00 2019,26-dic-2019 17:49:55.270,14.11405189,41.77862282,8.46,851.64111328125,3.18320751,9.07043076,4.85404634,181.2480011,0,-,1273.5,3.79009247,851.64111328,41.77862167,14.11405182,-0.16462141,1.09725118,0.59845823,0.31151775,367
Thu Dec 26 17:49:56 GMT+01:00 2019,26-dic-2019 17:49:55.959,14.11405189,41.77862282,8.46,851.64111328125,0.39007944,9.04408073,7.25910664,160.61428833,0.62259668,-,1202.5,3.79009247,851.64111328,41.77862167,14.11405182,0.30031139,0.85770333,0.62067926,0.16023265,367
Thu Dec 26 17:49:57 GMT+01:00 2019,26-dic-2019 17:49:56.874,14.11396497,41.77861519,7.58,850.7889404296875,1.66686952,8.11463547,5.12233973,88.8261261,1.1257714,-,1059.5,3.79009247,850.78894043,41.77861404,14.11396503,0.11399642,0.89188957,0.46073657,0.06002595,368
Thu Dec 26 17:49:58 GMT+01:00 2019,26-dic-2019 17:49:57.571,14.11388909,41.7786043,6.44,850.482666015625,2.73525286,8.56498528,5.08401203,53.83023834,1.85765326,-,856,3.79009247,850.48266602,41.7786026,14.11388874,0.25098556,0.86087781,0.48686463,0.07205377,369
Thu Dec 26 17:49:59 GMT+01:00 2019,26-dic-2019 17:49:58.261,14.11383173,41.77859813,4.8,850.282958984375,3.68386245,7.98288441,5.86972904,17.73610306,5.63810015,-,854,3.79009247,850.28295898,41.77859879,14.11383152,0.23657849,0.83743584,0.43167818,0.02012771,370
Thu Dec 26 17:49:59 GMT+01:00 2019,26-dic-2019 17:49:59.217,14.11383173,41.77859813,4.8,850.282958984375,1.93995404,8.20566368,5.03131151,13.57685566,7.36532259,-,864,3.79009247,850.28295898,41.77859879,14.11383152,0.20629923,0.80617982,0.42410839,-0.01621353,371
Thu Dec 26 17:50:00 GMT+01:00 2019,26-dic-2019 17:49:59.922,14.11378703,41.7785911,3.57,850.2109375,2.29448485,8.55540276,5.72120953,10.06757259,9.93267345,-,863.5,3.79009247,850.2109375,41.77859116,14.1137867,0.24390414,0.9014129000000001,0.43680614,0.07749161,371
Thu Dec 26 17:50:01 GMT+01:00 2019,26-dic-2019 17:50:00.634,14.11375203,41.77858338,3.28,850.730224609375,1.74352479,7.99725723,5.0768261,7.1058836,14.07255268,-,870.5,3.79009247,850.73022461,41.77858353,14.11375237,0.22412492,0.80617982,0.41556185,-0.01683059,372
Thu Dec 26 17:50:02 GMT+01:00 2019,26-dic-2019 17:50:01.583,14.113742199999999,41.77858717,1.19,850.208984375,2.42384076,9.17822838,3.59881544,5.46815968,18.28730774,-,868,3.79009247,850.20898438,41.77858734,14.11374187,0.19189221,0.92754096,0.21313049999999997,-0.00205926,373
Thu Dec 26 17:50:03 GMT+01:00 2019,26-dic-2019 17:50:02.301,14.11372655,41.77858613,1.28,850.2099609375,3.46826935,9.6788826,3.16283846,3.68261909,27.15402222,-,853.5,3.79009247,850.20996094,41.77858734,14.11372662,0.19995038,0.9751575000000001,0.07418786,0.01091621,374
Thu Dec 26 17:50:03 GMT+01:00 2019,26-dic-2019 17:50:03.044,14.11372655,41.77858613,1.28,850.2099609375,4.00246143,9.20936966,2.74842072,2.0554781,48.64947128,-,939.5,3.79009247,850.20996094,41.77858734,14.11372662,0.38553283,0.88505232,0.0793158,-0.01777488,375
Thu Dec 26 17:50:04 GMT+01:00 2019,26-dic-2019 17:50:04.001,14.11370039,41.77858895,2.25,850.226318359375,2.35437179,9.35549355,2.76758456,1.49241698,67.00400543,-,1555.5,3.79009247,850.22631836,41.77858734,14.11370087,0.30299747,0.96001792,0.15916508,0.03987828,375
Thu Dec 26 17:50:05 GMT+01:00 2019,26-dic-2019 17:50:04.712,14.11366574,41.77860416,3.45,850.5675048828125,2.38551307,9.09678173,2.36753964,3.50719213,28.51224327,-,1674,3.79009247,850.56750488,41.7786026,14.11366558,0.20752020000000002,0.92412233,0.07199018,-0.03704589,376
Thu Dec 26 17:50:06 GMT+01:00 2019,26-dic-2019 17:50:05.431,14.113633600000002,41.77863135,3.82,850.83154296875,1.52074528,9.76991081,2.8250761000000004,181.2480011,0,-,848,3.79009247,850.83154297,41.77863312,14.11363316,0.22534586,0.9946925,0.14060685,0.04825377,377
