GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Oct 03 22:59:52 GMT+02:00 2019,03-ott-2019 22:59:52.344,14.23649217,41.59452918,10.85,516.2705078125,2.17520142,8.2127533,4.86906433,16.51224709,6.05598497,259.35198975,41.5945282,20.3921566,-,-,11.76470566,13
Thu Oct 03 22:59:54 GMT+02:00 2019,03-ott-2019 22:59:53.712,14.236748,41.59462121,12.33,516.2564697265625,2.61094666,10.0921936,3.3056487999999997,16.51179504,6.05615091,258.23773193,41.59461975,17.25490189,-,-,7.45098066,13
Thu Oct 03 22:59:55 GMT+02:00 2019,03-ott-2019 22:59:55.031,14.23691252,41.59465143,12.46,515.6083984375,3.17118835,8.04037476,4.99356079,16.51195526,6.05609179,252.83843994,41.59465027,14.90196133,-,-,6.66666698,13
Thu Oct 03 22:59:56 GMT+02:00 2019,03-ott-2019 22:59:56.116,14.23704198,41.59471677,12.61,516.16357421875,2.64207458,7.13536072,4.38783264,16.51344872,6.05554438,247.99346924,41.59471512,15.29411793,-,-,4.70588255,13
Thu Oct 03 22:59:58 GMT+02:00 2019,03-ott-2019 22:59:57.443,14.23733686,41.59484474,12.29,519.0687255859375,2.42181396,7.70758057,4.10531616,16.51360893,6.05548525,242.43397522,41.59484482,16.07843208,-,-,6.27450991,13
Thu Oct 03 22:59:59 GMT+02:00 2019,03-ott-2019 22:59:59.105,14.23746307,41.59489208,12.28,519.5198974609375,2.50561523,7.35083008,4.27050781,16.51377106,6.05542612,237.74281311,41.59489059,16.86274529,-,-,7.05882359,13
Thu Oct 03 23:00:02 GMT+02:00 2019,03-ott-2019 23:00:02.213,14.2378427,41.59496437,11.85,515.8899536132811,2.19436646,7.80334473,4.67512512,16.51393318,6.05536699,233.3081665,41.59496307,17.25490189,-,-,8.23529434,13
Thu Oct 03 23:00:04 GMT+02:00 2019,03-ott-2019 23:00:03.691,14.23814062,41.59510845,12.71,514.426025390625,2.41702271,8.01164246,5.08453369,16.51501846,6.05496883,229.78186035,41.59510803,17.25490189,-,-,7.45098066,13
Thu Oct 03 23:00:05 GMT+02:00 2019,03-ott-2019 23:00:05.234,14.23827598,41.59514029,12.35,513.6340942382811,2.66601562,8.00445557,4.73258972,16.51617813,6.05454397,226.36724854,41.59513855,16.86274529,-,-,7.45098066,13
Thu Oct 03 23:00:07 GMT+02:00 2019,03-ott-2019 23:00:06.722,14.238563599999999,41.59522667,12.57,512.8499145507811,1.82086182,8.4473877,5.27128601,16.51705933,6.0542202000000005,223.37164307,41.59522629,16.86274529,-,-,7.05882359,13
