GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Tue Sep 24 11:10:40 GMT+02:00 2019,24-set-2019 11:10:39.460,14.26158783,41.60626022,28.31,545.670654296875,-0.05857849,9.23028564,3.77729797,12.80910873,7.80678177,302.81643677,41.60625839,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:41 GMT+02:00 2019,24-set-2019 11:10:40.833,14.26191736,41.60635117,28.3,547.618408203125,1.77297974,8.61737061,2.48683167,12.79219913,7.81710148,302.99761963,41.60634995,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:43 GMT+02:00 2019,24-set-2019 11:10:42.202,14.26252319,41.60659354,28.34,551.3681640625,0.48968506,8.47132874,3.31283569,12.77545166,7.82734919,303.1673584,41.60659409,65.09803772,-,-,60.7843132,21
Tue Sep 24 11:10:44 GMT+02:00 2019,24-set-2019 11:10:43.731,14.26284435,41.60671074,28.24,552.911865234375,3.22386169,8.18162537,5.94645691,12.760396,7.83658457,303.08816528,41.60671234,7.84313726,-,-,0,21
Tue Sep 24 11:10:46 GMT+02:00 2019,24-set-2019 11:10:45.095,14.26338181,41.60688231,23.25,556.96533203125,3.69792175,6.88876343,7.56732178,12.76528454,7.83358288,298.03671265,41.606884,7.84313726,-,-,0,21
Tue Sep 24 11:10:47 GMT+02:00 2019,24-set-2019 11:10:46.458,14.26359644,41.60695648,19.56,558.250244140625,7.68426514,7.28379822,1.57702637,12.77015686,7.83059454,293.15084839,41.60695648,7.84313726,-,-,0,21
Tue Sep 24 11:10:48 GMT+02:00 2019,24-set-2019 11:10:47.827,14.26375968,41.6069827,15.98,559.89599609375,6.34829712,7.36999512,-0.79083252,12.77501297,7.82761812,288.42260742,41.60698318,38.82352829,-,-,31.76470566,21
Tue Sep 24 11:10:50 GMT+02:00 2019,24-set-2019 11:10:49.199,14.26407229,41.60694912,12.64,561.37744140625,6.81756592,7.360412599999999,-1.30319214,12.77985191,7.8246541,285.01068115,41.60694885,39.2156868,-,-,27.84313774,21
Tue Sep 24 11:10:51 GMT+02:00 2019,24-set-2019 11:10:50.565,14.26418405,41.60692889,10.88,561.7008056640625,4.82798767,9.03157043,0.29852295,12.75122261,7.84222174,288.51525879,41.60692978,44.31372452,-,-,36.86274719,21
Tue Sep 24 11:10:52 GMT+02:00 2019,24-set-2019 11:10:51.939,14.26429921,41.60684594,10.36,564.745849609375,1.61975098,9.14169312,1.79011536,12.72088432,7.86092472,292.76901245,41.60684586,47.45098114,-,-,41.96078491,21
Tue Sep 24 11:10:54 GMT+02:00 2019,24-set-2019 11:10:53.306,14.26447679,41.60639794,17.87,567.063232421875,1.8639679,8.54794312,3.73181152,12.68999386,7.88006067,297.29232788,41.60639954,19.6078434,-,-,14.50980377,21
Tue Sep 24 11:10:55 GMT+02:00 2019,24-set-2019 11:10:54.654,14.26452231,41.60621014,18.68,566.562255859375,3.04908752,6.75468445,5.70223999,12.69472885,7.87712145,292.85513306,41.6062088,7.84313726,-,-,0,21
Tue Sep 24 11:10:56 GMT+02:00 2019,24-set-2019 11:10:55.868,14.26456763,41.60604716,18.27,566.711669921875,3.65003967,7.22155762,6.33192444,12.69944859,7.87419415,288.5484314,41.60604858,7.84313726,-,-,0,21
Tue Sep 24 11:10:59 GMT+02:00 2019,24-set-2019 11:10:58.663,14.26462768,41.60571638,12.22,566.6396484375,1.35877991,7.90150452,4.27050781,12.70415211,7.87127876,284.36657715,41.60571671,7.84313726,-,-,0,21
Tue Sep 24 11:11:01 GMT+02:00 2019,24-set-2019 11:11:00.277,14.26456949,41.60557343,8.08,568.24609375,-2.0194397,7.72912598,6.15473938,12.70883942,7.868375299999999,280.30419922,41.60557175,8.23529434,-,-,0,21
Tue Sep 24 11:11:02 GMT+02:00 2019,24-set-2019 11:11:01.795,14.264638,41.60554063,7.19,566.29150390625,-2.77360535,9.25183105,5.26409912,12.71351242,7.86548376,276.35626221,41.60554123,26.66666794,-,-,10.58823586,21
Tue Sep 24 11:11:03 GMT+02:00 2019,24-set-2019 11:11:02.842,14.26470862,41.60548581,7.42,566.8497314453125,-3.18061829,9.89587402,2.89624023,12.76923847,7.83115816,273.83337402,41.60548401,65.09803772,-,-,57.25490189,21
Tue Sep 24 11:11:05 GMT+02:00 2019,24-set-2019 11:11:04.150,14.26485624,41.60549245,5.79,566.1158447265625,3.331604,7.47773743,2.73103333,12.73175049,7.85421562,284.5880127,41.60549164,7.84313726,-,-,58.03921509,21
Tue Sep 24 11:11:06 GMT+02:00 2019,24-set-2019 11:11:05.458,14.26499608,41.60553449,9.08,565.895751953125,1.91424561,9.31408691,1.01678467,12.69727135,7.87554407,291.74060059,41.6055336,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:11:08 GMT+02:00 2019,24-set-2019 11:11:07.115,14.26536629,41.60564197,15.35,567.118408203125,1.1600647,8.49047852,1.3735198999999998,12.66710472,7.89429951,295.91818237,41.60564041,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:11:09 GMT+02:00 2019,24-set-2019 11:11:08.486,14.26556041,41.60568731,16.65,567.6060791015625,1.18640137,9.881515499999999,2.56344604,12.63619995,7.91360664,300.4992981,41.60568619,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:11:10 GMT+02:00 2019,24-set-2019 11:11:09.856,14.26577185,41.60574581,18.29,567.6363525390625,2.17759705,8.82566833,1.78292847,12.60647774,7.93226433,304.45083618,41.60574722,65.09803772,-,-,61.17647171,21
Tue Sep 24 11:11:12 GMT+02:00 2019,24-set-2019 11:11:11.377,14.26624885,41.60587343,20.9,569.4990234375,1.87353516,8.86636353,2.13249207,12.5775795,7.950489999999999,308.01046753,41.60587311,65.49019623,-,-,60.39215851,21
Tue Sep 24 11:11:13 GMT+02:00 2019,24-set-2019 11:11:13.036,14.26650255,41.60594231,21.29,570.9378662109375,0.33885193,8.99804688,2.19952393,12.5820713,7.94765139,304.11160278,41.60594177,65.49019623,-,-,61.56863022,21
